_id,RSN,YEAR REGISTERED,YEAR BUILT,YEAR EVALUATED,PROPERTY TYPE,WARD,WARDNAME,SITE ADDRESS,CONFIRMED STOREYS,CONFIRMED UNITS,EVALUATION COMPLETED ON,CURRENT BUILDING EVAL SCORE,PROACTIVE BUILDING SCORE,CURRENT REACTIVE SCORE,NO OF AREAS EVALUATED,NUMBERING OF PROPERTY,EXTERIOR GROUNDS,FENCING,RETAINING WALLS,CATCH BASINS / STORM DRAINAGE,BUILDING EXTERIOR,BALCONY GUARDS,WINDOWS,EXT. RECEPTACLE STORAGE AREA,EXTERIOR WALKWAYS,CLOTHING DROP BOXES,ACCESSORY BUILDINGS,INTERCOM,EMERGENCY CONTACT SIGN,LOBBY - WALLS AND CEILING,LOBBY FLOORS,LAUNDRY ROOM,INT. RECEPTACLE STORAGE AREA,MAIL RECEPTACLES,EXTERIOR DOORS,STORAGE AREAS/LOCKERS MAINT.,POOLS,OTHER AMENITIES,PARKING AREAS,ABANDONED EQUIP./DERELICT VEH.,GARBAGE/COMPACTOR ROOM,ELEVATOR MAINTENANCE,ELEVATOR COSMETICS,INT. HALLWAY - WALLS / CEILING,INTERIOR HALLWAY FLOORS,INT. LOBBY / HALLWAY LIGHTING,COMMON AREA VENTILATION,ELECTRICAL SERVICES / OUTLETS,CHUTE ROOMS - MAINTENANCE,STAIRWELL - WALLS AND CEILING,STAIRWELL - LANDING AND STEPS,STAIRWELL LIGHTING,INT. HANDRAIL / GUARD - SAFETY,INT. HANDRAIL / GUARD - MAINT.,GRAFFITI,BUILDING CLEANLINESS,COMMON AREA PESTS,TENANT NOTIFICATION BOARD,PEST CONTROL LOG,MAINTENANCE LOG,CLEANING LOG,VITAL SERVICE PLAN,ELECTRICAL SAFETY PLAN,STATE OF GOOD REPAIR PLAN,TENANT SERVICE REQUEST LOG,GRID,LATITUDE,LONGITUDE,X,Y
584,4155672,2017,1962,2023,PRIVATE,15,Don Valley West,20 CARLUKE CRES,12,154,2023-10-23,99,99,0,46,3,3,3,3,3,3,3,3,3,3,N/A,N/A,3,3,3,3,2,3,3,3,3,N/A,N/A,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,N1521,43.7610374702,-79.3915028226,313594.376,4846563.389
585,4154652,2017,1965,2023,PRIVATE,06,York Centre,34 CARSCADDEN DR,6,69,2023-08-10,92,92,0,46,3,3,N/A,2,3,3,3,3,3,1,N/A,N/A,3,3,3,3,3,3,3,2,2,N/A,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,N0624,43.7657548154,-79.4437096635,309316.71,4847089.125
586,4154906,2017,1966,2023,PRIVATE,16,Don Valley East,250 CASSANDRA BLVD,4,234,2023-08-10,88,88,0,45,3,3,3,3,3,2,2,3,2,3,N/A,N/A,3,3,3,3,2,3,N/A,3,N/A,N/A,2,1,3,2,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,2,2,1,1,1,2,N1625,43.7543911907,-79.3162260546,319583.529,4845841.461
587,4154905,2017,1969,2023,PRIVATE,16,Don Valley East,270 CASSANDRA BLVD,4,83,2023-08-10,85,85,0,42,3,3,2,2,3,2,3,3,2,2,N/A,N/A,3,3,3,3,2,N/A,N/A,3,N/A,N/A,N/A,3,3,2,3,3,3,N/A,3,2,3,3,2,2,3,3,3,3,3,3,1,2,2,2,1,1,1,2,N1625,43.7547279598,-79.3146445734,319710.799,4845879.156
588,4153735,2017,1950,2023,PRIVATE,11,University-Rosedale,36 CASTLE FRANK RD,4,53,2023-09-26,99,99,0,44,3,3,3,3,3,3,3,3,3,3,N/A,3,3,3,3,3,3,N/A,3,3,2,N/A,N/A,3,3,N/A,3,3,3,3,3,3,3,N/A,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,S1131,43.676613159,-79.3697198649,315289.335,4837192.601
589,4155054,2017,1956,2023,PRIVATE,08,Eglinton-Lawrence,1030 CASTLEFIELD AVE,5,56,2023-07-18,94,94,0,42,3,3,2,3,3,2,3,3,2,2,N/A,N/A,3,3,3,3,3,N/A,3,3,N/A,N/A,N/A,2,3,N/A,3,3,2,3,3,2,3,N/A,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,N0831,43.7009672272,-79.4495637221,308849.641,4839891.251
590,4155055,2017,1959,2023,PRIVATE,08,Eglinton-Lawrence,1040 CASTLEFIELD AVE,4,44,2023-08-03,75,75,0,38,3,3,N/A,N/A,3,2,N/A,2,1,2,N/A,3,3,3,2,2,1,N/A,2,3,2,N/A,N/A,1,2,N/A,N/A,N/A,2,2,3,N/A,2,N/A,3,2,3,0,1,3,2,3,3,0,0,0,3,3,3,0,N0831,43.7010486833,-79.4499999014,308814.479,4839900.279
591,4155056,2017,1959,2023,PRIVATE,08,Eglinton-Lawrence,1050 CASTLEFIELD AVE,5,64,2023-07-26,83,83,0,42,3,2,2,N/A,3,2,1,2,1,2,N/A,N/A,3,3,3,3,2,N/A,3,2,2,N/A,N/A,3,3,N/A,3,1,2,3,3,1,3,N/A,2,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,N0831,43.7010927419,-79.4506862658,308759.154,4839905.141
592,4155746,2017,1968,2023,PRIVATE,07,Humber River-Black Creek,11 CATFORD RD,9,218,2023-10-31,82,82,0,43,3,2,2,N/A,3,2,2,3,3,2,N/A,N/A,3,3,3,3,3,N/A,3,2,N/A,N/A,N/A,2,2,3,3,2,1,2,2,2,2,3,1,1,2,3,2,1,1,3,3,3,3,3,3,3,3,3,W0731,43.7587124736,-79.4913415398,305481.823,4846305.27
593,4155471,2017,1992,2023,TCHC,03,Etobicoke-Lakeshore,98 CAVELL AVE,6,100,2023-08-22,94,94,0,45,3,3,3,3,3,3,N/A,3,3,3,N/A,N/A,3,3,3,3,3,3,3,3,N/A,N/A,3,2,3,2,3,2,3,3,3,3,3,3,3,2,3,3,3,3,2,3,2,3,3,3,1,3,3,3,W0336,43.616184074,-79.49590117,305111.3,4830450.134
594,4152801,2017,1961,2023,PRIVATE,24,Scarborough-Guildwood,5 CEDAR DR,10,86,2023-09-11,79,79,0,42,1,2,1,N/A,3,2,2,3,2,2,N/A,N/A,3,3,2,2,2,N/A,N/A,2,N/A,N/A,N/A,2,3,2,3,2,2,2,1,3,3,2,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,E2433,43.744527226,-79.2154577667,327701.9,4844768.434
595,4154223,2017,1972,2023,PRIVATE,07,Humber River-Black Creek,160 CHALKFARM DR,23,466,2023-09-08,81,81,0,44,3,2,3,2,3,2,1,3,3,1,N/A,N/A,3,3,3,3,3,N/A,3,2,N/A,N/A,N/A,1,3,3,2,2,2,2,3,2,3,2,1,1,3,3,2,3,2,3,3,3,3,3,3,3,3,3,W0734,43.7243235641,-79.5147486407,303596.246,4842484.943
596,4154221,2017,1972,2023,PRIVATE,07,Humber River-Black Creek,180 CHALKFARM DR,23,263,2023-09-08,79,79,0,44,3,2,3,2,3,2,1,2,N/A,1,N/A,N/A,3,3,3,3,2,2,3,2,N/A,N/A,N/A,1,3,3,3,3,2,1,3,2,2,3,1,1,3,3,2,3,2,3,3,3,3,3,3,3,3,3,W0734,43.7240484372,-79.5118150261,303832.597,4842454.334
597,4153981,2017,1961,2023,PRIVATE,08,Eglinton-Lawrence,525 CHAPLIN CRES,8,110,2023-07-31,87,87,0,46,3,3,3,2,3,2,2,2,3,2,N/A,N/A,3,3,2,2,2,3,3,2,3,N/A,N/A,2,3,2,3,3,2,2,3,3,3,3,2,3,3,3,3,2,3,3,3,3,3,3,2,2,2,3,N0833,43.705350718,-79.424543299,310865.636,4840380.768
598,4153517,2017,1981,2023,PRIVATE,11,University-Rosedale,55 CHARLES ST W,32,147,2023-08-09,88,88,0,46,2,3,N/A,N/A,3,3,3,3,N/A,3,N/A,3,3,3,3,3,2,3,3,3,2,3,3,2,3,2,3,3,2,3,3,3,3,3,2,2,2,3,3,2,2,3,2,3,3,3,0,0,0,3,S1136,43.6676849352,-79.3890195894,313734.416,4836198.46
599,4153516,2017,1977,2023,PRIVATE,11,University-Rosedale,57 CHARLES ST W,21,250,2023-08-29,96,96,0,47,3,3,3,3,3,2,3,3,N/A,3,N/A,3,3,3,3,3,3,2,3,3,2,3,3,N/A,3,2,3,3,2,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,S1136,43.667772301,-79.389524395,313693.429,4836209.064
600,4166721,2017,2012,2023,PRIVATE,22,Scarborough-Agincourt,8 CHICHESTER PL,20,210,2023-09-07,100,100,0,45,3,3,N/A,3,3,3,3,3,N/A,3,N/A,N/A,3,3,3,3,3,3,3,3,3,N/A,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,E2225,43.77626173,-79.320962704,319196.64,4848271.343
601,4279693,2017,1952,2023,PRIVATE,19,Beaches-East York,332 CHISHOLM AVE,3,12,2023-07-28,76,76,0,37,1,2,2,N/A,3,2,N/A,2,3,2,N/A,N/A,2,3,2,2,2,N/A,3,3,N/A,N/A,N/A,2,3,N/A,N/A,N/A,2,2,3,N/A,3,N/A,1,2,3,1,2,3,2,3,3,1,1,3,3,2,1,2,S1926,43.6972925811,-79.3074870563,320325.566,4839501.516
602,4155156,2017,1965,2023,PRIVATE,05,York South-Weston,36 CHURCH ST,6,41,2023-07-23,72,72,0,43,3,2,2,2,3,1,2,2,2,2,N/A,N/A,3,3,2,2,3,N/A,3,1,1,N/A,N/A,1,3,N/A,3,2,2,2,3,2,2,N/A,2,2,2,3,2,3,2,3,2,0,0,2,3,0,3,0,W0524,43.7043490054,-79.523801614,302866.172,4840266.152
603,4153423,2017,2005,2023,PRIVATE,13,Toronto Centre,167 CHURCH ST,28,388,2023-07-26,97,97,0,41,3,3,N/A,N/A,N/A,2,3,3,N/A,3,N/A,N/A,3,3,3,3,N/A,3,3,3,N/A, N/A,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,S1332,43.6544377686,-79.3759611563,314805.505,4834950.321
604,4155872,2017,1910,2023,PRIVATE,13,Toronto Centre,592 CHURCH ST,3,12,2023-06-27,99,99,0,38,3,3,3,N/A,3,2,N/A,3,3,3,N/A,N/A,3,3,3,3,3,N/A,3,3,N/A,N/A,3,N/A,3,N/A,N/A,N/A,3,3,3,3,3,N/A,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,S1322,43.667031521,-79.3817873,314317.525,4836127.624
605,4153534,2017,1910,2023,PRIVATE,13,Toronto Centre,608 CHURCH ST,4,35,2023-07-17,97,97,0,36,3,3,3,N/A,N/A,2,N/A,3,2,3,N/A,N/A,3,3,3,3,3,N/A,3,3,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,2,3,3,3,3,N/A,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,S1322,43.668007452,-79.382076109,314294.076,4836236.013
606,4153144,2017,1994,2023,SOCIAL HOUSING,10,Spadina-Fort York,138 CLAREMONT ST,3,18,2023-10-17,57,57,0,34,2,2,N/A,N/A,N/A,2,2,2,2,2,N/A,N/A,1,2,2,2,N/A,N/A,1,2,N/A,N/A,N/A,2,3,N/A,N/A,N/A,2,2,2,N/A,N/A,N/A,2,2,2,3,2,1,1,1,1,0,0,0,0,0,0,0,S1022,43.6499453573,-79.411506674,311923.107,4834225.424
