_id,RSN,YEAR REGISTERED,YEAR BUILT,YEAR EVALUATED,PROPERTY TYPE,WARD,WARDNAME,SITE ADDRESS,CONFIRMED STOREYS,CONFIRMED UNITS,EVALUATION COMPLETED ON,CURRENT BUILDING EVAL SCORE,PROACTIVE BUILDING SCORE,CURRENT REACTIVE SCORE,NO OF AREAS EVALUATED,NUMBERING OF PROPERTY,EXTERIOR GROUNDS,FENCING,RETAINING WALLS,CATCH BASINS / STORM DRAINAGE,BUILDING EXTERIOR,BALCONY GUARDS,WINDOWS,EXT. RECEPTACLE STORAGE AREA,EXTERIOR WALKWAYS,CLOTHING DROP BOXES,ACCESSORY BUILDINGS,INTERCOM,EMERGENCY CONTACT SIGN,LOBBY - WALLS AND CEILING,LOBBY FLOORS,LAUNDRY ROOM,INT. RECEPTACLE STORAGE AREA,MAIL RECEPTACLES,EXTERIOR DOORS,STORAGE AREAS/LOCKERS MAINT.,POOLS,OTHER AMENITIES,PARKING AREAS,ABANDONED EQUIP./DERELICT VEH.,GARBAGE/COMPACTOR ROOM,ELEVATOR MAINTENANCE,ELEVATOR COSMETICS,INT. HALLWAY - WALLS / CEILING,INTERIOR HALLWAY FLOORS,INT. LOBBY / HALLWAY LIGHTING,COMMON AREA VENTILATION,ELECTRICAL SERVICES / OUTLETS,CHUTE ROOMS - MAINTENANCE,STAIRWELL - WALLS AND CEILING,STAIRWELL - LANDING AND STEPS,STAIRWELL LIGHTING,INT. HANDRAIL / GUARD - SAFETY,INT. HANDRAIL / GUARD - MAINT.,GRAFFITI,BUILDING CLEANLINESS,COMMON AREA PESTS,TENANT NOTIFICATION BOARD,PEST CONTROL LOG,MAINTENANCE LOG,CLEANING LOG,VITAL SERVICE PLAN,ELECTRICAL SAFETY PLAN,STATE OF GOOD REPAIR PLAN,TENANT SERVICE REQUEST LOG,GRID,LATITUDE,LONGITUDE,X,Y
1,4153867,2017,1990,2023,TCHC,15,Don Valley West,3179 YONGE ST,5,110,2023-07-19,88,88,0,48,2,2,3,1,3,2,3,3,3,2,N/A,3,3,3,3,3,2,2,3,3,2,N/A,3,2,3,2,3,2,2,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,2,3,3,2,3,N1525,43.7273367741,-79.4020576636,312675.228,4842824.244
2,4154705,2017,1986,2023,TCHC,18,Willowdale,5430 YONGE ST,14,239,2023-10-06,89,89,0,45,3,2,N/A,2,3,3,N/A,3,3,3,N/A,N/A,3,3,3,3,2,3,3,3,2,N/A,3,1,3,2,3,2,2,3,3,2,3,3,1,2,3,3,2,3,2,3,3,3,3,1,3,3,3,3,N1824,43.7759712605,-79.4152224497,311609.151,4848226.096
3,4154716,2017,1970,2023,PRIVATE,18,Willowdale,5900 YONGE ST,13,233,2023-08-16,97,97,0,45,3,3,3,3,3,2,3,3,3,3,N/A,N/A,3,3,3,3,3,N/A,N/A,3,2,N/A,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,N1822,43.786291194,-79.417827386,311398.042,4849373.379
4,4154718,2017,1963,2023,PRIVATE,18,Willowdale,6000 YONGE ST,18,265,2023-09-18,97,97,0,45,3,2,2,N/A,3,3,3,3,3,3,3,N/A,3,3,3,3,2,N/A,3,3,3,N/A,N/A,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,N1822,43.7883911434,-79.4180400688,311380.957,4849605.708
5,4154728,2017,1968,2023,PRIVATE,18,Willowdale,6210 YONGE ST,7,83,2023-09-08,93,93,0,42,3,3,2,N/A,3,2,3,3,3,2,N/A,N/A,3,3,3,3,3,N/A,3,3,3,N/A,N/A,2,3,N/A,3,3,3,3,3,2,3,N/A,3,3,3,3,3,3,3,3,2,3,3,3,3,1,3,3,N1822,43.7939825101,-79.4198227886,311236.874,4850226.759
6,4154272,,1966,2023,PRIVATE,07,Humber River-Black Creek,90 YORK GATE BLVD,4,40,2023-10-27,86,86,0,43,3,3,N/A,N/A,3,2,1,1,3,2,3,N/A,3,3,3,3,2,N/A,3,3,N/A,N/A,N/A,1,1,3,3,3,2,3,3,3,3,3,2,1,3,3,2,2,3,3,3,3,3,3,3,3,3,3,W0724,43.7610772976,-79.5211616748,303080.68,4846568.193
7,4154273,2017,1965,2023,PRIVATE,07,Humber River-Black Creek,100 YORK GATE BLVD,11,133,2023-10-31,85,85,0,46,3,2,2,2,3,2,3,3,2,2,N/A,N/A,3,3,2,3,2,N/A,3,2,2,N/A,3,2,3,2,3,3,3,2,3,2,3,2,2,2,3,3,2,3,3,3,3,3,3,2,3,2,3,3,W0724,43.7621440095,-79.5199371956,303179.301,4846686.674
8,4154732,2017,1970,2023,PRIVATE,15,Don Valley West,740 YORK MILLS RD,19,137,2023-08-20,97,97,0,45,3,3,3,N/A,3,3,3,3,3,3,N/A,N/A,N/A,3,3,3,3,3,3,3,2,N/A,3,3,3,3,3,3,2,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,N1522,43.753559279,-79.362054281,315892.973,4845742.888
9,4156580,2017,1967,2023,PRIVATE,16,Don Valley East,1200 YORK MILLS RD,16,222,2023-07-17,90,90,0,41,3,3,N/A,N/A,N/A,3,2,3,3,3,N/A,N/A,3,3,3,3,3,N/A,3,3,2,N/A,N/A,N/A,3,3,3,2,2,2,3,3,3,2,3,3,3,1,2,3,3,3,3,3,3,3,2,1,1,3,N1622,43.759658618,-79.3350153122,318069.302,4846423.49
10,4156579,2017,1967,2023,PRIVATE,16,Don Valley East,1202 YORK MILLS RD,22,219,2023-08-03,85,85,0,41,3,N/A,2,N/A,2,2,2,3,N/A,3,N/A,N/A,3,3,3,3,2,N/A,N/A,3,1,N/A,N/A,1,3,2,3,2,2,2,2,3,3,3,3,3,3,1,2,1,2,3,3,3,3,3,3,3,3,3,N1622,43.7606174266,-79.3350540559,318065.974,4846530.005
11,4154927,2017,1963,2023,PRIVATE,16,Don Valley East,1210 YORK MILLS RD,10,91,2023-08-02,91,91,0,43,3,2,1,N/A,3,3,3,3,2,3,N/A,N/A,3,3,2,3,3,N/A,3,2,N/A,N/A,N/A,2,3,2,3,3,2,2,3,3,3,3,2,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,N1622,43.759908428,-79.3335295503,318188.883,4846451.482
12,4154926,2017,1964,2023,PRIVATE,16,Don Valley East,1216 YORK MILLS RD,8,65,2023-07-17,95,95,0,46,3,3,2,3,3,2,3,3,2,3,N/A,3,3,3,3,3,3,N/A,3,3,3,N/A,N/A,2,3,3,3,2,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,N1622,43.7601779836,-79.3325640814,318266.564,4846481.585
13,5294330,2023,2023,2023,PRIVATE,16,Don Valley East,1225 YORK MILLS RD,12,140,2023-10-26,96,96,0,45,3,3,3,3,3,3,3,3,N/A,3,N/A,3,3,2,3,3,N/A,N/A,3,3,3,N/A,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,1,3,3,N1625,,,318396.216,4846414.819
14,4154917,2017,1965,2023,PRIVATE,16,Don Valley East,1300 YORK MILLS RD,8,112,2023-10-08,88,88,0,46,3,1,1,N/A,3,3,2,3,3,2,3,N/A,3,2,3,3,3,2,3,2,2,N/A,N/A,2,3,2,3,2,2,2,3,3,3,3,3,2,3,3,3,3,1,3,3,3,3,3,3,3,3,3,N1622,43.7619582699,-79.3238669393,318966.436,4846680.805
15,4520827,2019,2018,2023,TCHC,08,Eglinton-Lawrence,20 ZACHARY CRT,7,77,2023-06-29,94,94,0,45,3,3,N/A,N/A,3,3,3,3,N/A,3,N/A,3,3,3,3,3,2,2,3,3,2,N/A,2,3,3,2,3,2,3,3,3,3,3,2,3,3,3,3,2,3,2,3,3,3,3,3,3,3,0,3,N0823,,,308987.948,4842332.775
16,4154263,2017,1967,2023,PRIVATE,07,Humber River-Black Creek,25 STONG CRT,14,151,2023-10-26,92,92,0,44,3,3,3,N/A,3,3,3,2,3,2,N/A,N/A,3,2,3,3,3,N/A,3,2,N/A,N/A,3,2,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,W0725,43.7615247984,-79.5177662952,303354.08,4846617.84
17,4154733,2017,1974,2023,PRIVATE,15,Don Valley West,44 STUBBS DR,7,84,2023-07-13,91,91,0,49,3,3,3,2,3,2,2,3,3,2,N/A,3,3,3,3,3,2,3,3,3,2,3,3,2,2,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,N1522,43.7614984852,-79.3630422116,315812.209,4846623.819
18,4167680,2017,2006,2023,TCHC,13,Toronto Centre,259 SUMACH ST,3,47,2023-06-09,81,81,0,41,3,2,N/A,N/A,3,2,2,2,3,2,N/A,N/A,N/A,3,2,2,2,3,2,2,N/A,N/A,3,2,3,3,N/A,N/A,2,2,2,2,3,3,1,1,3,3,1,3,3,3,3,3,3,3,3,3,3,3,S1330,43.662405994,-79.360720129,316017.373,4835616.37
19,4167687,2017,1948,2023,TCHC,13,Toronto Centre,260 SUMACH ST,3,48,2023-06-09,81,81,0,41,3,2,N/A,N/A,3,2,2,2,3,2,N/A,N/A,N/A,3,2,2,2,3,2,2,N/A,N/A,3,2,3,3,N/A,N/A,2,2,2,2,3,3,1,1,2,3,1,3,3,3,3,3,3,3,3,3,3,3,S1330,43.66223715,-79.361553726,315950.172,4835597.5
20,4272882,2017,1952,2023,PRIVATE,11,University-Rosedale,468 SUMMERHILL AVE,3,34,2023-09-07,87,87,0,38,3,3,N/A,3,3,1,N/A,3,N/A,2,N/A,N/A,3,3,3,3,2,N/A,3,2,N/A,N/A,N/A,1,3,3,N/A,N/A,3,3,3,3,3,N/A,2,2,3,1,2,3,3,3,3,3,3,3,3,3,3,3,S1130,43.686670483,-79.374860081,314872.929,4838310.28
21,4155855,2017,2012,2023,PRIVATE,03,Etobicoke-Lakeshore,3 SUMMERLAND TER,26,283,2023-10-13,100,100,0,43,3,3,3,N/A,N/A,3,3,3,N/A,3,3,N/A,3,3,3,3,N/A,3,3,3,N/A,N/A,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,W0321,43.6431712607,-79.532364963,302151.067,4833473.587
22,4155752,2017,1950,2023,PRIVATE,03,Etobicoke-Lakeshore,1 SUPERIOR AVE,4,23,2023-08-24,79,79,0,41,3,3,2,N/A,3,3,2,2,2,2,N/A,N/A,3,3,3,2,2,N/A,3,2,N/A,N/A,N/A,2,3,N/A,3,2,2,2,2,2,3,N/A,2,2,2,3,3,3,2,3,2,1,1,1,1,1,1,1,W0336,43.6148862856,-79.4869596111,305836.877,4830327.051
23,4155487,2017,1965,2023,PRIVATE,03,Etobicoke-Lakeshore,2 SUPERIOR AVE,5,47,2023-08-24,88,88,0,42,3,3,2,N/A,2,3,3,3,2,2,N/A,3,3,3,3,3,3,N/A,3,3,N/A,N/A,N/A,2,3,N/A,3,2,3,3,3,3,3,N/A,3,2,3,3,3,3,3,3,2,1,1,1,1,1,1,1,W0336,43.6143308517,-79.4872977904,305809.589,4830265.341
24,4155749,2017,1950,2023,PRIVATE,03,Etobicoke-Lakeshore,3 SUPERIOR AVE,7,62,2023-07-16,91,91,0,44,3,3,3,3,3,3,2,3,2,2,3,N/A,3,3,3,3,3,N/A,3,3,2,N/A,N/A,2,3,N/A,3,2,2,2,2,2,3,N/A,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,W0336,43.6150903921,-79.4868989887,305841.767,4830349.727
25,4154869,2017,1960,2023,PRIVATE,16,Don Valley East,3 SWIFT DR,5,61,2023-08-12,83,83,0,43,3,3,2,2,3,1,2,2,3,2,N/A,N/A,3,3,2,2,2,N/A,2,2,3,N/A,N/A,2,3,N/A,3,2,3,2,3,2,3,N/A,2,2,3,3,2,3,2,3,3,3,3,3,3,3,3,3,N1628,43.7266882298,-79.3178088353,319462.82,4842763.595
26,4156122,2017,1970,2023,PRIVATE,17,Don Valley North,75 TALARA DR,4,66,2023-09-22,96,96,0,45,3,3,3,2,3,2,3,3,3,N/A,N/A,N/A,3,3,3,3,3,N/A,3,3,3,3,N/A,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,N1729,43.765752783,-79.380070251,314469.09,4847077.914
27,4152598,2017,1968,2023,PRIVATE,20,Scarborough Southwest,10 TEESDALE PL,24,285,2023-08-09,91,91,0,46,3,3,3,2,3,2,2,2,2,2,N/A,N/A,3,3,3,3,3,3,3,3,3,N/A,N/A,2,3,3,3,3,2,1,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,E2028,43.6965267454,-79.2862044067,322017.663,4839418.771
28,4152597,2017,1970,2023,PRIVATE,20,Scarborough Southwest,20 TEESDALE PL,24,284,2023-08-09,89,89,0,45,3,3,3,N/A,0,2,2,2,3,2,N/A,N/A,3,3,3,3,3,3,3,3,3,N/A,N/A,2,3,3,3,3,2,1,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,E2028,43.6959726218,-79.2874840709,321914.674,4839356.947
29,4153605,2017,1931,2023,PRIVATE,14,Toronto-Danforth,9 TENNIS CRES,4,54,2023-08-02,99,99,0,41,3,3,3,3,3,3,N/A,3,3,3,N/A,N/A,3,3,3,3,3,N/A,3,3,3,N/A,3,3,3,N/A,N/A,N/A,3,3,3,3,3,N/A,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,S1428,43.6726051315,-79.3542475992,316537.683,4836749.389
30,4154789,2017,1950,2023,PRIVATE,16,Don Valley East,4 THE DONWAY E,4,40,2023-07-20,90,90,0,43,3,3,N/A,N/A,3,2,2,3,2,3,N/A,N/A,3,3,3,3,1,N/A,2,2,3,N/A,N/A,3,3,2,3,3,3,3,3,3,3,2,1,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,N1627,43.7330607404,-79.340845323,317590.117,4843465.219
31,4154772,2017,1989,2023,SOCIAL HOUSING,16,Don Valley East,7 THE DONWAY E,4,70,2023-07-24,92,92,0,47,3,3,3,2,3,2,3,3,3,3,N/A,3,3,2,3,3,2,N/A,3,3,2,N/A,3,2,3,2,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,N1627,43.7332472948,-79.3395613564,317708.903,4843488.607
32,4154787,2017,1960,2023,PRIVATE,16,Don Valley East,12 THE DONWAY E,4,40,2023-07-25,96,96,0,41,3,3,3,N/A,3,2,3,3,2,3,N/A,N/A,3,3,3,3,3,N/A,3,3,3,N/A,N/A,2,3,N/A,3,3,3,3,N/A,3,3,N/A,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,N1627,43.7353799948,-79.3409353127,317597.772,4843725.34
33,4154786,2017,1960,2023,PRIVATE,16,Don Valley East,14 THE DONWAY E,4,40,2023-07-24,93,93,0,40,3,3,3,N/A,3,2,3,3,2,3,N/A,N/A,3,1,3,N/A,3,N/A,3,3,2,N/A,N/A,2,3,N/A,3,3,3,3,N/A,3,3,N/A,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,N1627,43.7357778684,-79.3410317074,317589.923,4843769.528
34,4154784,2017,1963,2023,PRIVATE,16,Don Valley East,18 THE DONWAY E,7,76,2023-07-25,92,92,0,41,2,3,N/A,N/A,3,2,3,3,2,3,N/A,N/A,3,3,3,3,3,N/A,2,N/A,N/A,N/A,N/A,2,3,2,3,3,2,2,3,3,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,N1627,43.7371481492,-79.3412586289,317571.354,4843921.73
35,4154793,2019,1962,2023,PRIVATE,16,Don Valley East,150 THE DONWAY W,6,65,2023-07-20,84,84,0,42,3,2,2,N/A,3,2,2,3,3,2,N/A,N/A,3,3,1,3,3,N/A,3,2,3,N/A,N/A,2,3,N/A,3,3,3,3,3,2,3,N/A,2,3,3,3,2,3,3,3,2,1,1,1,1,1,1,3,N1626,43.733390855,-79.347625086,317059.04,4843504.301
36,4155373,2017,1966,2023,PRIVATE,02,Etobicoke Centre,340 THE EAST MALL,8,82,2023-07-11,91,91,0,43,3,2,3,N/A,2,2,3,3,2,2,N/A,N/A,3,3,3,3,3,N/A,3,3,2,3,N/A,2,3,N/A,3,3,3,3,3,2,3,N/A,3,2,3,3,2,3,3,3,3,3,3,3,3,3,1,3,W0234,43.639211983,-79.557274574,300163.043,4833031.882
37,4153381,2017,1983,2023,TCHC,10,Spadina-Fort York,55 THE ESPLANADE,12,166,2023-09-26,91,91,0,43,3,3,N/A,N/A,3,2,2,3,1,3,N/A,N/A,3,3,3,3,3,3,3,3,N/A,N/A,N/A,2,3,3,3,3,2,2,2,3,3,3,2,3,3,3,3,2,3,3,3,3,3,3,2,2,2,3,S1038,43.646717897,-79.374036398,314890.596,4833814.598
38,4153382,2017,1997,2023,SOCIAL HOUSING,10,Spadina-Fort York,85 THE ESPLANADE,7,128,2023-10-17,87,87,0,43,3,2,N/A,N/A,N/A,2,2,2,3,2,N/A,N/A,3,3,2,2,3,3,3,3,N/A,N/A,3,2,3,3,3,3,2,2,3,2,3,3,2,3,3,3,3,2,3,3,3,3,3,2,3,1,3,3,S1038,43.647312711,-79.372960844,315032.675,4833938.007
39,4155800,2017,1993,2023,TCHC,13,Toronto Centre,140 THE ESPLANADE,7,102,2023-07-30,89,89,0,44,3,3,3,N/A,2,2,N/A,2,3,2,N/A,N/A,3,3,2,3,2,3,3,3,N/A,N/A,3,1,3,3,3,3,2,2,3,3,3,2,2,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,S1339,43.648548433,-79.370253431,315250.877,4834075.626
40,4167459,2017,2006,2023,TCHC,13,Toronto Centre,176 THE ESPLANADE,7,220,2023-06-08,92,92,0,41,1,3,N/A,N/A,3,3,3,3,2,3,N/A,N/A,3,3,3,3,2,N/A,3,3,N/A,N/A,2,N/A,3,N/A,3,3,2,2,3,3,3,3,2,2,3,3,2,3,2,3,3,3,3,3,3,3,3,3,S1339,43.649017812,-79.367964945,315435.409,4834128.066
41,4154773,2017,1961,2023,PRIVATE,16,Don Valley East,32 THE HEIGHTS DR,4,55,2023-08-16,91,91,0,47,3,3,3,3,3,3,3,3,2,3,N/A,N/A,3,3,3,3,3,N/A,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,2,3,1,2,3,3,3,3,2,2,2,1,1,1,2,N1627,43.729295625,-79.340139051,317684.369,4842978.082
42,4155327,2017,1966,2023,PRIVATE,02,Etobicoke Centre,289 THE KINGSWAY,17,73,2023-08-29,95,95,0,40,3,3,N/A,N/A,N/A,3,3,3,2,3,N/A,N/A,3,3,3,3,3,N/A,3,3,3,N/A,3,N/A,3,N/A,3,3,3,3,3,3,3,N/A,2,3,3,3,3,3,3,3,3,3,0,3,3,0,3,3,W0229,43.663190582,-79.519535276,303208.491,4835694.511
43,4156089,2017,1977,2023,PRIVATE,02,Etobicoke Centre,290 THE KINGSWAY,4,22,2023-07-06,78,78,0,40,2,3,2,3,3,1,N/A,2,2,1,N/A,N/A,3,2,2,2,2,N/A,3,3,2,N/A,N/A,1,3,N/A,N/A,N/A,2,3,2,3,3,N/A,2,2,2,1,3,3,3,3,3,3,3,3,3,3,3,3,W0229,43.663342704,-79.521030395,303087.922,4835711.443
44,4155310,2017,1962,2023,PRIVATE,02,Etobicoke Centre,307 THE KINGSWAY,3,26,2023-07-26,88,88,0,38,3,3,2,3,3,2,N/A,2,3,2,N/A,N/A,3,3,3,3,2,N/A,3,3,3,N/A,N/A,2,3,N/A,N/A,N/A,3,3,3,N/A,N/A,N/A,3,3,3,1,2,3,3,3,2,3,3,3,2,2,2,3,W0229,43.6646746732,-79.5222520533,302989.714,4835858.492
45,4155322,,1952,2023,PRIVATE,02,Etobicoke Centre,308 THE KINGSWAY,4,34,2023-06-22,89,89,0,40,3,3,3,3,3,2,N/A,2,3,3,N/A,N/A,3,3,3,2,3,N/A,3,3,3,N/A,N/A,1,3,N/A,N/A,N/A,3,3,3,3,3,N/A,2,2,3,1,2,3,3,3,3,3,3,3,3,2,2,3,W0229,43.6641680509,-79.5231261637,302919.2,4835802.229
46,4155311,2017,1955,2023,PRIVATE,02,Etobicoke Centre,309 THE KINGSWAY,4,34,2023-10-30,89,89,0,40,3,2,3,2,3,2,3,3,3,3,N/A,N/A,3,3,3,3,3,N/A,3,3,N/A,N/A,N/A,2,3,N/A,N/A,N/A,3,2,3,3,3,N/A,3,3,3,1,3,3,3,3,1,3,3,3,3,1,3,3,W0229,43.6648936941,-79.522593185,302962.211,4835882.832
47,4155320,2017,1970,2023,PRIVATE,02,Etobicoke Centre,316 THE KINGSWAY,4,17,2023-09-08,82,82,0,36,3,3,3,N/A,N/A,2,N/A,3,3,2,N/A,N/A,3,3,2,2,2,N/A,3,1,N/A,N/A,N/A,2,3,N/A,N/A,N/A,2,2,3,N/A,3,N/A,2,1,3,3,2,3,3,3,3,3,3,1,3,1,3,3,W0229,43.6646897872,-79.5237237327,302871.029,4835860.206
48,4154739,2017,1963,2023,PRIVATE,15,Don Valley West,16 THE LINKS RD,4,102,2023-08-20,90,90,0,45,3,3,3,N/A,2,2,3,3,3,3,N/A,N/A,3,3,3,3,2,3,3,3,1,N/A,N/A,2,3,3,3,2,1,3,3,2,3,2,2,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,N1521,43.751505712,-79.402827155,312609.845,4845510.073
49,4155222,2017,1993,2023,SOCIAL HOUSING,03,Etobicoke-Lakeshore,773 THE QUEENSWAY,3,63,2023-09-29,98,98,0,45,3,3,N/A,3,3,3,N/A,3,2,3,N/A,N/A,3,3,3,3,2,3,3,3,2,N/A,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,W0326,43.625636744,-79.504530803,304383.661,4831516.423
50,4155380,2019,1970,2023,PRIVATE,02,Etobicoke Centre,320 THE WEST MALL,3,17,2023-08-16,84,84,0,38,3,3,2,N/A,3,2,1,3,2,3,N/A,N/A,3,1,3,3,2,N/A,3,3,N/A,N/A,N/A,2,3,N/A,N/A,N/A,3,2,3,N/A,3,N/A,3,3,3,1,3,3,3,3,2,3,3,3,3,1,3,3,W0233,43.636889686,-79.5635303983,299658.366,4832773.299
51,4155379,2017,1968,2023,PRIVATE,02,Etobicoke Centre,328 THE WEST MALL,3,32,2023-08-28,87,87,0,43,3,3,3,N/A,3,3,1,3,3,3,N/A,3,3,1,3,3,2,N/A,3,3,3,N/A,N/A,3,3,N/A,3,3,3,2,3,3,3,N/A,3,3,2,1,3,3,3,3,1,3,1,3,3,1,3,3,W0233,43.6373133386,-79.564053632,299616.185,4832820.397
52,4155383,2017,1970,2023,PRIVATE,02,Etobicoke Centre,329 THE WEST MALL,5,45,2023-08-21,95,95,0,44,3,3,3,N/A,3,3,3,3,3,3,N/A,2,3,3,3,3,3,N/A,3,3,3,3,N/A,3,3,N/A,3,3,3,3,3,3,3,N/A,3,3,3,1,3,2,3,3,3,3,3,3,3,1,3,3,W0233,43.6375255076,-79.5635248549,299658.87,4832843.935
53,4155384,2017,1950,2023,PRIVATE,02,Etobicoke Centre,339 THE WEST MALL,5,51,2023-08-28,77,77,0,44,2,3,3,1,3,2,2,3,3,3,1,1,3,1,3,2,2,N/A,3,3,N/A,N/A,N/A,2,3,N/A,3,2,1,3,1,3,3,N/A,3,3,2,1,3,3,2,3,2,1,1,1,3,1,1,1,W0233,43.638068798,-79.563940807,299625.092,4832905.27
54,4155390,2017,1962,2023,PRIVATE,02,Etobicoke Centre,350 THE WEST MALL,6,55,2023-10-18,95,95,0,44,3,3,2,N/A,3,3,3,3,3,3,N/A,N/A,3,3,3,3,3,N/A,3,3,2,N/A,N/A,2,3,2,3,3,3,2,3,3,3,2,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,W0233,43.639035157,-79.564993488,299540.246,4833012.694
55,4155385,2017,1960,2023,PRIVATE,02,Etobicoke Centre,351 THE WEST MALL,5,49,2023-07-11,88,88,0,42,3,3,2,N/A,3,2,3,1,2,3,N/A,N/A,3,3,3,3,3,N/A,N/A,3,2,N/A,N/A,2,3,N/A,3,3,3,3,2,3,3,3,2,2,3,1,2,3,3,3,3,3,3,3,3,3,3,3,W0233,43.638729619,-79.564232582,299601.61,4832978.702
56,4155389,2017,1970,2023,PRIVATE,02,Etobicoke Centre,361 THE WEST MALL,19,141,2023-08-28,88,88,0,46,2,3,2,3,3,3,3,3,3,3,N/A,1,3,3,3,3,2,3,N/A,3,3,N/A,N/A,2,1,3,3,3,3,3,3,2,3,1,3,3,1,3,3,3,3,3,2,1,1,1,3,3,3,1,W0233,43.64088681,-79.564713058,299564.642,4833089.72
57,5051013,2018,1962,2023,PRIVATE,02,Etobicoke Centre,505 THE WEST MALL,6,59,2023-08-31,91,91,0,41,3,2,3,N/A,3,2,3,3,3,3,N/A,N/A,3,3,3,3,3,N/A,3,3,N/A,N/A,N/A,2,1,N/A,3,2,3,3,3,3,3,N/A,3,2,3,3,3,3,3,3,3,3,1,3,3,1,3,3,W0231,43.648859107,-79.568021211,299290.266,4834104.598
58,4155393,2017,1970,2023,PRIVATE,02,Etobicoke Centre,555 THE WEST MALL,15,119,2023-07-11,96,96,0,43,3,3,3,N/A,3,3,3,3,2,3,N/A,N/A,3,3,3,3,3,N/A,N/A,3,2,N/A,N/A,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,1,3,W0231,43.652443491,-79.570433321,299096.887,4834480.231
59,4155410,2017,1962,2023,PRIVATE,02,Etobicoke Centre,416 THE WESTWAY,9,103,2023-08-29,85,85,0,41,3,2,N/A,N/A,3,2,2,3,2,2,N/A,N/A,3,3,2,2,3,N/A,3,3,2,N/A,N/A,2,3,N/A,3,3,2,2,3,2,3,N/A,2,1,3,3,2,3,2,3,3,3,3,1,3,3,3,1,W0221,43.6840527547,-79.565694704,299487.999,4838013.037
60,4153905,2017,1962,2023,PRIVATE,12,Toronto-St. Paul's,30 THELMA AVE,3,32,2023-07-06,78,78,0,44,3,2,2,2,2,2,2,3,2,2,N/A,N/A,3,3,2,2,2,N/A,3,2,3,N/A,N/A,2,3,N/A,3,2,1,2,3,3,3,2,2,2,3,3,3,3,2,3,2,1,1,1,1,1,1,1,S1231,43.689996633,-79.411502636,311918.458,4838676.016
61,4156288,2017,1970,2023,PRIVATE,03,Etobicoke-Lakeshore,11 THIRTY THIRD ST,3,23,2023-10-03,89,89,0,37,3,3,2,N/A,3,2,N/A,3,3,3,N/A,N/A,3,3,3,3,3,N/A,3,3,N/A,N/A,N/A,3,3,N/A,N/A,N/A,2,3,3,3,N/A,N/A,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,W0334,43.5918858428,-79.5306544291,302309.225,4827772.157
62,4155916,2017,1970,2023,PRIVATE,03,Etobicoke-Lakeshore,15 THIRTY THIRD ST,3,36,2023-10-11,88,88,0,38,3,3,2,N/A,3,2,N/A,3,3,3,N/A,N/A,3,3,3,3,3,N/A,3,3,N/A,N/A,N/A,3,2,N/A,N/A,N/A,2,3,3,3,3,N/A,1,3,3,3,3,3,2,3,1,1,1,3,1,1,1,1,W0334,43.5920527461,-79.530753761,302301.211,4827790.702
63,4480446,2019,2016,2023,SOCIAL HOUSING,20,Scarborough Southwest,55 THORA AVE,4,20,2023-08-30,98,98,0,43,3,0,3,N/A,3,3,N/A,3,N/A,3,N/A,N/A,3,3,3,3,3,3,3,3,3,N/A,N/A,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,E2028,43.691279311,-79.286865733,321965.595,4838836.621
